"year","period","periodName","Employment among men 45-54 (%)","Employment among women 45-54 (%)","date"
1960,4,"April",92.5,47.4,"1960-04-01"
1960,5,"May",92.3,47.6,"1960-05-01"
1960,6,"June",92.3,47.9,"1960-06-01"
1960,7,"July",91.9,48.2,"1960-07-01"
1960,8,"August",92,48.2,"1960-08-01"
1960,9,"September",91.8,49,"1960-09-01"
1960,10,"October",91.4,47.5,"1960-10-01"
1960,11,"November",91.5,48.2,"1960-11-01"
1960,12,"December",90.5,47.5,"1960-12-01"
1961,1,"January",90.5,47.1,"1961-01-01"
1961,2,"February",90.1,47,"1961-02-01"
1961,3,"March",90.7,47.7,"1961-03-01"
1961,4,"April",90.7,47.3,"1961-04-01"
1961,5,"May",90.6,47.7,"1961-05-01"
1961,6,"June",90.7,48.1,"1961-06-01"
1961,7,"July",90.7,47.5,"1961-07-01"
1961,8,"August",91.2,47.1,"1961-08-01"
1961,9,"September",91.2,47.2,"1961-09-01"
1961,10,"October",92,47.8,"1961-10-01"
1961,11,"November",91.4,47.9,"1961-11-01"
1961,12,"December",91.1,48,"1961-12-01"
1962,1,"January",91.6,48.5,"1962-01-01"
1962,2,"February",91.3,48.2,"1962-02-01"
1962,3,"March",91.5,47.7,"1962-03-01"
1962,4,"April",91.3,47.8,"1962-04-01"
1962,5,"May",92.1,48,"1962-05-01"
1962,6,"June",91.9,47.6,"1962-06-01"
1962,7,"July",91.8,47.6,"1962-07-01"
1962,8,"August",92,48.5,"1962-08-01"
1962,9,"September",92,48,"1962-09-01"
1962,10,"October",92.7,48,"1962-10-01"
1962,11,"November",92,47.8,"1962-11-01"
1962,12,"December",91.9,47.7,"1962-12-01"
1963,1,"January",91.6,47.9,"1963-01-01"
1963,2,"February",91.8,48.7,"1963-02-01"
1963,3,"March",92,48.9,"1963-03-01"
1963,4,"April",91.9,49.2,"1963-04-01"
1963,5,"May",91.9,48.3,"1963-05-01"
1963,6,"June",92.5,48.2,"1963-06-01"
1963,7,"July",92.6,47.5,"1963-07-01"
1963,8,"August",92.5,47.8,"1963-08-01"
1963,9,"September",92.4,48,"1963-09-01"
1963,10,"October",92.5,48.9,"1963-10-01"
1963,11,"November",92.6,49.2,"1963-11-01"
1963,12,"December",92.8,49.4,"1963-12-01"
1964,1,"January",92.4,49.4,"1964-01-01"
1964,2,"February",92.9,49.4,"1964-02-01"
1964,3,"March",92.7,49.4,"1964-03-01"
1964,4,"April",92.9,49.7,"1964-04-01"
1964,5,"May",93.1,49.6,"1964-05-01"
1964,6,"June",92.1,48.9,"1964-06-01"
1964,7,"July",92.5,49.1,"1964-07-01"
1964,8,"August",92.1,49.8,"1964-08-01"
1964,9,"September",92.9,49.8,"1964-09-01"
1964,10,"October",92.6,49.2,"1964-10-01"
1964,11,"November",92.6,48.7,"1964-11-01"
1964,12,"December",92.8,49.5,"1964-12-01"
1965,1,"January",92.8,49.5,"1965-01-01"
1965,2,"February",92.8,48.7,"1965-02-01"
1965,3,"March",92.9,48.7,"1965-03-01"
1965,4,"April",93.3,48.9,"1965-04-01"
1965,5,"May",93.3,49.2,"1965-05-01"
1965,6,"June",93.3,49.8,"1965-06-01"
1965,7,"July",93.3,50.1,"1965-07-01"
1965,8,"August",93.2,49.4,"1965-08-01"
1965,9,"September",93,49.3,"1965-09-01"
1965,10,"October",93.1,49.3,"1965-10-01"
1965,11,"November",93.4,49.4,"1965-11-01"
1965,12,"December",93.1,49.3,"1965-12-01"
1966,1,"January",93.6,49.3,"1966-01-01"
1966,2,"February",93.3,49.5,"1966-02-01"
1966,3,"March",93.3,49.7,"1966-03-01"
1966,4,"April",93.2,49.9,"1966-04-01"
1966,5,"May",93.2,50.3,"1966-05-01"
1966,6,"June",93.1,50.4,"1966-06-01"
1966,7,"July",93.1,50.8,"1966-07-01"
1966,8,"August",93.6,50.4,"1966-08-01"
1966,9,"September",93.7,50.8,"1966-09-01"
1966,10,"October",93.9,50.4,"1966-10-01"
1966,11,"November",93.8,50.8,"1966-11-01"
1966,12,"December",93.5,49.8,"1966-12-01"
1967,1,"January",93.8,50.1,"1967-01-01"
1967,2,"February",93.3,50.1,"1967-02-01"
1967,3,"March",93.2,49.3,"1967-03-01"
1967,4,"April",93.4,50.2,"1967-04-01"
1967,5,"May",93.3,50.1,"1967-05-01"
1967,6,"June",93.4,49.4,"1967-06-01"
1967,7,"July",93.6,50.1,"1967-07-01"
1967,8,"August",93.2,50.7,"1967-08-01"
1967,9,"September",93.3,50.3,"1967-09-01"
1967,10,"October",93.3,50.7,"1967-10-01"
1967,11,"November",93.1,50.6,"1967-11-01"
1967,12,"December",93.1,50.8,"1967-12-01"
1968,1,"January",93.1,50.7,"1968-01-01"
1968,2,"February",93.3,50.9,"1968-02-01"
1968,3,"March",93.3,51.2,"1968-03-01"
1968,4,"April",93.6,51,"1968-04-01"
1968,5,"May",93.5,51.2,"1968-05-01"
1968,6,"June",93.4,51.4,"1968-06-01"
1968,7,"July",93.6,51.3,"1968-07-01"
1968,8,"August",93.5,50.5,"1968-08-01"
1968,9,"September",93.1,51.1,"1968-09-01"
1968,10,"October",93.3,50.9,"1968-10-01"
1968,11,"November",93.4,51,"1968-11-01"
1968,12,"December",93.4,51.4,"1968-12-01"
1969,1,"January",93.4,51.5,"1969-01-01"
1969,2,"February",93.6,52.1,"1969-02-01"
1969,3,"March",93.4,52.1,"1969-03-01"
1969,4,"April",93,52.2,"1969-04-01"
1969,5,"May",93.3,52.1,"1969-05-01"
1969,6,"June",93.1,52,"1969-06-01"
1969,7,"July",92.8,52.2,"1969-07-01"
1969,8,"August",93,52.6,"1969-08-01"
1969,9,"September",93,53,"1969-09-01"
1969,10,"October",93,53,"1969-10-01"
1969,11,"November",93,53.1,"1969-11-01"
1969,12,"December",92.9,52.9,"1969-12-01"
1970,1,"January",93,52.9,"1970-01-01"
1970,2,"February",92.6,52.4,"1970-02-01"
1970,3,"March",92.5,52.5,"1970-03-01"
1970,4,"April",92.2,52.7,"1970-04-01"
1970,5,"May",92.1,52.1,"1970-05-01"
1970,6,"June",92.1,52.6,"1970-06-01"
1970,7,"July",91.7,52.7,"1970-07-01"
1970,8,"August",91.8,52.4,"1970-08-01"
1970,9,"September",91.6,52.3,"1970-09-01"
1970,10,"October",91.6,52.6,"1970-10-01"
1970,11,"November",91.5,52.3,"1970-11-01"
1970,12,"December",91.5,52.5,"1970-12-01"
1971,1,"January",91.3,52.6,"1971-01-01"
1971,2,"February",91.4,52.3,"1971-02-01"
1971,3,"March",91.1,51.9,"1971-03-01"
1971,4,"April",91.3,52,"1971-04-01"
1971,5,"May",91.4,52.2,"1971-05-01"
1971,6,"June",91.5,52,"1971-06-01"
1971,7,"July",91.1,51.7,"1971-07-01"
1971,8,"August",91.1,52,"1971-08-01"
1971,9,"September",90.9,51.8,"1971-09-01"
1971,10,"October",90.8,52.1,"1971-10-01"
1971,11,"November",90.7,52.5,"1971-11-01"
1971,12,"December",90.5,52.3,"1971-12-01"
1972,1,"January",90.9,52.5,"1972-01-01"
1972,2,"February",90.9,52.4,"1972-02-01"
1972,3,"March",91.1,52.6,"1972-03-01"
1972,4,"April",91.2,51.9,"1972-04-01"
1972,5,"May",90.8,51.9,"1972-05-01"
1972,6,"June",90.6,51.9,"1972-06-01"
1972,7,"July",90.8,51.9,"1972-07-01"
1972,8,"August",90.4,52.4,"1972-08-01"
1972,9,"September",90.6,51.9,"1972-09-01"
1972,10,"October",90.5,51.4,"1972-10-01"
1972,11,"November",90.6,50.7,"1972-11-01"
1972,12,"December",91,51.5,"1972-12-01"
1973,1,"January",90.6,51,"1973-01-01"
1973,2,"February",90.6,51.6,"1973-02-01"
1973,3,"March",91,51.4,"1973-03-01"
1973,4,"April",90.7,52,"1973-04-01"
1973,5,"May",90.8,52,"1973-05-01"
1973,6,"June",91,51.7,"1973-06-01"
1973,7,"July",91.3,52.7,"1973-07-01"
1973,8,"August",91.1,52,"1973-08-01"
1973,9,"September",91.6,52.5,"1973-09-01"
1973,10,"October",91.5,52.1,"1973-10-01"
1973,11,"November",90.9,52.6,"1973-11-01"
1973,12,"December",91.1,52.2,"1973-12-01"
1974,1,"January",91.1,52.4,"1974-01-01"
1974,2,"February",91,52.3,"1974-02-01"
1974,3,"March",90.3,52.7,"1974-03-01"
1974,4,"April",89.7,53,"1974-04-01"
1974,5,"May",90.2,53.1,"1974-05-01"
1974,6,"June",90.1,53.3,"1974-06-01"
1974,7,"July",89.9,53.9,"1974-07-01"
1974,8,"August",89.9,52.8,"1974-08-01"
1974,9,"September",89.5,52.4,"1974-09-01"
1974,10,"October",89.9,52.3,"1974-10-01"
1974,11,"November",89.2,51.6,"1974-11-01"
1974,12,"December",88.9,51.7,"1974-12-01"
1975,1,"January",87.6,51.4,"1975-01-01"
1975,2,"February",87.7,51.4,"1975-02-01"
1975,3,"March",87.7,51.5,"1975-03-01"
1975,4,"April",87.6,51.3,"1975-04-01"
1975,5,"May",87.7,51,"1975-05-01"
1975,6,"June",87.5,51.4,"1975-06-01"
1975,7,"July",87.5,51.5,"1975-07-01"
1975,8,"August",88,51.5,"1975-08-01"
1975,9,"September",87.6,51.2,"1975-09-01"
1975,10,"October",87.6,51.9,"1975-10-01"
1975,11,"November",87.9,51.3,"1975-11-01"
1975,12,"December",87.7,51.5,"1975-12-01"
1976,1,"January",87.8,51.7,"1976-01-01"
1976,2,"February",88,51.6,"1976-02-01"
1976,3,"March",87.6,51.5,"1976-03-01"
1976,4,"April",87.8,51.8,"1976-04-01"
1976,5,"May",87.9,52.1,"1976-05-01"
1976,6,"June",88,52.3,"1976-06-01"
1976,7,"July",88.1,52.3,"1976-07-01"
1976,8,"August",88.3,52.4,"1976-08-01"
1976,9,"September",88.1,52.4,"1976-09-01"
1976,10,"October",88.3,52.5,"1976-10-01"
1976,11,"November",87.6,52.6,"1976-11-01"
1976,12,"December",87.4,52.6,"1976-12-01"
1977,1,"January",87.2,52.5,"1977-01-01"
1977,2,"February",87.4,52.5,"1977-02-01"
1977,3,"March",87.6,52.6,"1977-03-01"
1977,4,"April",87.8,52.9,"1977-04-01"
1977,5,"May",88,52.9,"1977-05-01"
1977,6,"June",88.3,52.5,"1977-06-01"
1977,7,"July",88.2,52.5,"1977-07-01"
1977,8,"August",88.2,52.4,"1977-08-01"
1977,9,"September",88.7,53.1,"1977-09-01"
1977,10,"October",88.8,53.6,"1977-10-01"
1977,11,"November",89.3,54,"1977-11-01"
1977,12,"December",89.2,53.9,"1977-12-01"
1978,1,"January",89.1,54,"1978-01-01"
1978,2,"February",88.8,54.2,"1978-02-01"
1978,3,"March",88.9,54.3,"1978-03-01"
1978,4,"April",89,54.3,"1978-04-01"
1978,5,"May",88.9,53.4,"1978-05-01"
1978,6,"June",88.5,53.8,"1978-06-01"
1978,7,"July",88.6,54.8,"1978-07-01"
1978,8,"August",88.4,55.1,"1978-08-01"
1978,9,"September",88.5,55.7,"1978-09-01"
1978,10,"October",88.6,55.7,"1978-10-01"
1978,11,"November",88.9,56,"1978-11-01"
1978,12,"December",89.1,55.9,"1978-12-01"
1979,1,"January",89.2,56.1,"1979-01-01"
1979,2,"February",89.4,55.9,"1979-02-01"
1979,3,"March",89.5,55.9,"1979-03-01"
1979,4,"April",88.7,55.3,"1979-04-01"
1979,5,"May",88.8,54.8,"1979-05-01"
1979,6,"June",88.9,55,"1979-06-01"
1979,7,"July",89.1,56.4,"1979-07-01"
1979,8,"August",89.2,56.4,"1979-08-01"
1979,9,"September",88.9,56.5,"1979-09-01"
1979,10,"October",88.4,56.6,"1979-10-01"
1979,11,"November",88.4,56.8,"1979-11-01"
1979,12,"December",88.9,57.5,"1979-12-01"
1980,1,"January",88.7,57.1,"1980-01-01"
1980,2,"February",88.6,57.2,"1980-02-01"
1980,3,"March",88.4,57,"1980-03-01"
1980,4,"April",88.2,56.9,"1980-04-01"
1980,5,"May",87.8,56.5,"1980-05-01"
1980,6,"June",87.8,56.8,"1980-06-01"
1980,7,"July",87.4,56.9,"1980-07-01"
1980,8,"August",87.6,57.1,"1980-08-01"
1980,9,"September",87.7,57.6,"1980-09-01"
1980,10,"October",87.6,57.3,"1980-10-01"
1980,11,"November",87.4,57.2,"1980-11-01"
1980,12,"December",87.5,58,"1980-12-01"
1981,1,"January",87.7,58.6,"1981-01-01"
1981,2,"February",87.7,58.7,"1981-02-01"
1981,3,"March",88,58.7,"1981-03-01"
1981,4,"April",88.6,59.1,"1981-04-01"
1981,5,"May",88.3,59.1,"1981-05-01"
1981,6,"June",87.8,58.5,"1981-06-01"
1981,7,"July",87.9,58.1,"1981-07-01"
1981,8,"August",87.5,57.8,"1981-08-01"
1981,9,"September",87.5,57.2,"1981-09-01"
1981,10,"October",87.5,57.9,"1981-10-01"
1981,11,"November",87.8,57.9,"1981-11-01"
1981,12,"December",87,58,"1981-12-01"
1982,1,"January",86.7,57.1,"1982-01-01"
1982,2,"February",86.5,57.7,"1982-02-01"
1982,3,"March",86.5,57.8,"1982-03-01"
1982,4,"April",86.4,57.9,"1982-04-01"
1982,5,"May",86.4,58.6,"1982-05-01"
1982,6,"June",86.4,58.7,"1982-06-01"
1982,7,"July",86,59.2,"1982-07-01"
1982,8,"August",85.9,58,"1982-08-01"
1982,9,"September",85.7,57.9,"1982-09-01"
1982,10,"October",85.7,57.8,"1982-10-01"
1982,11,"November",85.5,57.7,"1982-11-01"
1982,12,"December",85.5,57.4,"1982-12-01"
1983,1,"January",85,57.2,"1983-01-01"
1983,2,"February",84.4,57.1,"1983-02-01"
1983,3,"March",84.9,57.3,"1983-03-01"
1983,4,"April",84.9,57.2,"1983-04-01"
1983,5,"May",84.8,57.2,"1983-05-01"
1983,6,"June",85.4,58.1,"1983-06-01"
1983,7,"July",86,58.4,"1983-07-01"
1983,8,"August",86.1,59.1,"1983-08-01"
1983,9,"September",86.3,59.3,"1983-09-01"
1983,10,"October",86.1,59.2,"1983-10-01"
1983,11,"November",85.7,59.2,"1983-11-01"
1983,12,"December",85.9,59,"1983-12-01"
1984,1,"January",86.2,58.7,"1984-01-01"
1984,2,"February",86.4,58.4,"1984-02-01"
1984,3,"March",86.5,59.5,"1984-03-01"
1984,4,"April",86.7,59.8,"1984-04-01"
1984,5,"May",86.4,60,"1984-05-01"
1984,6,"June",87.5,59.9,"1984-06-01"
1984,7,"July",87.3,59.7,"1984-07-01"
1984,8,"August",87.9,59.9,"1984-08-01"
1984,9,"September",87,59.6,"1984-09-01"
1984,10,"October",87.1,59.7,"1984-10-01"
1984,11,"November",87.5,59.8,"1984-11-01"
1984,12,"December",87.1,60,"1984-12-01"
1985,1,"January",86.5,60.9,"1985-01-01"
1985,2,"February",86.9,61.2,"1985-02-01"
1985,3,"March",86.9,61.3,"1985-03-01"
1985,4,"April",86.5,61.6,"1985-04-01"
1985,5,"May",86.8,61.3,"1985-05-01"
1985,6,"June",86.5,61,"1985-06-01"
1985,7,"July",86.5,60.7,"1985-07-01"
1985,8,"August",86.8,61.8,"1985-08-01"
1985,9,"September",87,61.3,"1985-09-01"
1985,10,"October",86.8,61.3,"1985-10-01"
1985,11,"November",87.1,61.8,"1985-11-01"
1985,12,"December",87.2,61.8,"1985-12-01"
1986,1,"January",87,62.9,"1986-01-01"
1986,2,"February",87.1,62.4,"1986-02-01"
1986,3,"March",86.8,62.4,"1986-03-01"
1986,4,"April",86.8,62.4,"1986-04-01"
1986,5,"May",86.8,62.1,"1986-05-01"
1986,6,"June",86.8,62.6,"1986-06-01"
1986,7,"July",86.9,63.1,"1986-07-01"
1986,8,"August",87.1,62.8,"1986-08-01"
1986,9,"September",87.2,63.2,"1986-09-01"
1986,10,"October",87.2,63.8,"1986-10-01"
1986,11,"November",86.9,63.7,"1986-11-01"
1986,12,"December",87.2,63.9,"1986-12-01"
1987,1,"January",86.9,63.6,"1987-01-01"
1987,2,"February",86.5,63.7,"1987-02-01"
1987,3,"March",86.8,63.9,"1987-03-01"
1987,4,"April",86.8,64.1,"1987-04-01"
1987,5,"May",87.2,64.8,"1987-05-01"
1987,6,"June",86.7,64.9,"1987-06-01"
1987,7,"July",86.8,64.8,"1987-07-01"
1987,8,"August",86.9,64.7,"1987-08-01"
1987,9,"September",87,65.2,"1987-09-01"
1987,10,"October",87,64.8,"1987-10-01"
1987,11,"November",87.2,65.1,"1987-11-01"
1987,12,"December",87.4,65.9,"1987-12-01"
1988,1,"January",87.6,65.9,"1988-01-01"
1988,2,"February",87.9,65.8,"1988-02-01"
1988,3,"March",88.2,66,"1988-03-01"
1988,4,"April",88.6,65.5,"1988-04-01"
1988,5,"May",88.3,66,"1988-05-01"
1988,6,"June",87.9,66,"1988-06-01"
1988,7,"July",87.7,66.6,"1988-07-01"
1988,8,"August",87.6,67.2,"1988-08-01"
1988,9,"September",87.3,67,"1988-09-01"
1988,10,"October",87.1,67.6,"1988-10-01"
1988,11,"November",87.5,67.7,"1988-11-01"
1988,12,"December",87.1,68,"1988-12-01"
1989,1,"January",87.8,68.3,"1989-01-01"
1989,2,"February",87.6,68.2,"1989-02-01"
1989,3,"March",88,68,"1989-03-01"
1989,4,"April",88.2,68.4,"1989-04-01"
1989,5,"May",88.4,68.1,"1989-05-01"
1989,6,"June",88.4,67.9,"1989-06-01"
1989,7,"July",88.2,67.6,"1989-07-01"
1989,8,"August",88.5,67.9,"1989-08-01"
1989,9,"September",88.1,68.6,"1989-09-01"
1989,10,"October",88.3,68.2,"1989-10-01"
1989,11,"November",88.3,68.9,"1989-11-01"
1989,12,"December",88.2,68.5,"1989-12-01"
1990,1,"January",87.8,68.5,"1990-01-01"
1990,2,"February",88.2,68.4,"1990-02-01"
1990,3,"March",87.5,68.7,"1990-03-01"
1990,4,"April",87.1,68.8,"1990-04-01"
1990,5,"May",87.3,68.9,"1990-05-01"
1990,6,"June",87.7,68.9,"1990-06-01"
1990,7,"July",87.7,69,"1990-07-01"
1990,8,"August",87.7,68.6,"1990-08-01"
1990,9,"September",87.4,69.2,"1990-09-01"
1990,10,"October",87.2,68.9,"1990-10-01"
1990,11,"November",86.7,68.8,"1990-11-01"
1990,12,"December",85.9,68.9,"1990-12-01"
1991,1,"January",86.2,68.9,"1991-01-01"
1991,2,"February",86.3,68.8,"1991-02-01"
1991,3,"March",86.6,68.8,"1991-03-01"
1991,4,"April",87.2,68.7,"1991-04-01"
1991,5,"May",86.2,69,"1991-05-01"
1991,6,"June",86.4,69.1,"1991-06-01"
1991,7,"July",86.4,69.4,"1991-07-01"
1991,8,"August",85.9,69.5,"1991-08-01"
1991,9,"September",85.9,69.2,"1991-09-01"
1991,10,"October",85.5,69.1,"1991-10-01"
1991,11,"November",85.5,68.5,"1991-11-01"
1991,12,"December",85.4,68.5,"1991-12-01"
1992,1,"January",85.6,68.6,"1992-01-01"
1992,2,"February",85.6,68.7,"1992-02-01"
1992,3,"March",85.7,68.8,"1992-03-01"
1992,4,"April",86.2,69.2,"1992-04-01"
1992,5,"May",85.6,69.3,"1992-05-01"
1992,6,"June",85.7,69.9,"1992-06-01"
1992,7,"July",85.6,69.8,"1992-07-01"
1992,8,"August",85.7,70,"1992-08-01"
1992,9,"September",85.6,69.4,"1992-09-01"
1992,10,"October",85.7,69.4,"1992-10-01"
1992,11,"November",85.4,69.3,"1992-11-01"
1992,12,"December",85.1,69.3,"1992-12-01"
1993,1,"January",85.2,69.2,"1993-01-01"
1993,2,"February",85.4,69.4,"1993-02-01"
1993,3,"March",84.4,70.2,"1993-03-01"
1993,4,"April",84.8,69.5,"1993-04-01"
1993,5,"May",85.4,69.8,"1993-05-01"
1993,6,"June",85.6,69.8,"1993-06-01"
1993,7,"July",85.6,69.6,"1993-07-01"
1993,8,"August",85.8,70.1,"1993-08-01"
1993,9,"September",85.7,70.5,"1993-09-01"
1993,10,"October",86,70.9,"1993-10-01"
1993,11,"November",86.6,71.5,"1993-11-01"
1993,12,"December",85.9,71.5,"1993-12-01"
1994,1,"January",86.1,71.7,"1994-01-01"
1994,2,"February",85.4,71.5,"1994-02-01"
1994,3,"March",85.8,71.4,"1994-03-01"
1994,4,"April",85.2,71.1,"1994-04-01"
1994,5,"May",85.5,71.1,"1994-05-01"
1994,6,"June",85.1,70.2,"1994-06-01"
1994,7,"July",85.3,71.3,"1994-07-01"
1994,8,"August",85.4,71.8,"1994-08-01"
1994,9,"September",85.3,72.8,"1994-09-01"
1994,10,"October",85.6,72,"1994-10-01"
1994,11,"November",85.9,72.4,"1994-11-01"
1994,12,"December",85.8,72.1,"1994-12-01"
1995,1,"January",86.1,72.1,"1995-01-01"
